timestamp,batch_id,temp_c,pH,conductivity,qc_pass,reagent_lot,ingest_time
2025-10-18 15:46:11.198851,BATCH_100,37.02997051649127,7.194681040952107,5.1868992161211755,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:47:11.198851,BATCH_100,37.024958941604865,7.188751800670471,5.228733739837713,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:48:11.198851,BATCH_100,36.95203817133385,7.20132151553829,5.18485428939191,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:49:11.198851,BATCH_100,37.0282309380663,7.196520251401991,5.253943044822397,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:50:11.198851,BATCH_100,37.08393673718708,7.181543175519961,5.190249741266661,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:51:11.198851,BATCH_100,37.03171498132794,7.193100509618401,5.198984558045675,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:52:11.198851,BATCH_100,37.0738995501089,7.228129521652669,5.101553031925414,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:53:11.198851,BATCH_100,37.06298872705658,7.187321125339361,5.182442489016137,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:54:11.198851,BATCH_100,36.94608173306874,7.167050434596946,5.188240534077105,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:55:11.198851,BATCH_100,36.97081484433866,7.193657282629011,5.1602371049869875,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:56:11.198851,BATCH_100,37.15629876779459,7.2300507286279645,5.231614001628353,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:57:11.198851,BATCH_100,37.02295665603094,7.194353263589126,5.169841029558648,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:58:11.198851,BATCH_100,37.066508972415875,7.221977706198851,5.176618680770792,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 15:59:11.198851,BATCH_100,36.94176570599147,7.19426001688901,5.212178188380332,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:00:11.198851,BATCH_100,37.0817801611386,7.197808899570006,5.177208941573177,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:01:11.198851,BATCH_100,36.8881593378506,7.201184286263542,5.269488953666589,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:02:11.198851,BATCH_100,36.952264451846155,7.228425789528821,5.243814100679919,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:03:11.198851,BATCH_100,37.107598234211956,7.24265170130627,5.210227554990101,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:04:11.198851,BATCH_100,36.97770132301907,7.2148815657028,5.175467274142862,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:05:11.198851,BATCH_100,37.047473192943926,7.187970326361683,5.266302085116039,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:06:11.198851,BATCH_100,37.069042330516474,7.195861851631432,5.208559360519374,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:07:11.198851,BATCH_100,37.16860548566604,7.227122063206124,5.187563615264602,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:08:11.198851,BATCH_100,37.136065279871005,7.209555934901347,5.242812395454266,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:09:11.198851,BATCH_100,37.029473852212554,7.239518181973697,5.199374667873834,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:10:11.198851,BATCH_100,36.80147146372908,7.225671470256723,5.204946498276096,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:11:11.198851,BATCH_100,36.95674610997933,7.216607659587203,5.222206612396912,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:12:11.198851,BATCH_100,37.073740125198064,7.20748532813044,5.207084254019475,1,LOT-1003,2025-10-20 15:46:11.263940
2025-10-18 16:13:11.198851,BATCH_100,37.17608560565054,7.223643116437632,5.184855901578589,1,LOT-1003,2025-10-20 15:46:11.263940
